cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
66;5376;4096;208;31463;176735;1551481;141288;282576;1869504;0;5280;3738904;1.629020070513084e8;6.912663e-3;1.185148147e0;6.681428e-3
67;5280;4096;277;31676;173387;1520062;138079;276158;1831528;0;5467;3663610;1.5687365898434654e8;6.681015e-3;1.159526955e0;6.680924e-3
68;5467;4096;320;31432;178194;1567365;142894;285788;1888453;0;5375;3778551;1.6072234855976748e8;6.677886e-3;1.175578303e0;6.705973e-3
69;5375;4096;415;31407;173757;1529768;138786;277572;1842311;0;5492;3682431;1.5924992870619106e8;6.644049e-3;1.15264558e0;6.769051e-3
70;5492;4096;229;31387;176909;1555844;141487;282974;1874240;0;5324;3749960;1.6119460847168112e8;6.680379e-3;1.16718968e0;6.84276e-3
71;5324;4096;361;31512;176146;1550275;141199;282398;1867620;0;5624;3737529;1.6459262437808666e8;6.56791e-3;1.1850380440000001e0;6.676967e-3
72;5624;4096;443;31266;177545;1563962;142142;284284;1883649;0;5140;3762487;1.6443014099744135e8;6.618671e-3;1.173047968e0;6.63753e-3
73;5140;4096;245;31766;178191;1569969;142972;285944;1891132;0;5538;3782784;1.6475743456636608e8;6.703924e-3;1.176266836e0;6.667505e-3
74;5538;4096;147;31333;178991;1577581;143574;287148;1900146;0;5403;3797521;1.6338961397027934e8;6.594084e-3;1.182372025e0;6.647852e-3
75;5403;4096;214;31370;179507;1586592;144469;288938;1910568;0;5617;3822469;1.6418030312036955e8;6.658723e-3;1.218870284e0;6.688036e-3
76;5617;4096;475;31221;179012;1581063;144106;288212;1904181;0;5553;3808055;1.6576934512654445e8;6.65946e-3;1.186441202e0;6.646254e-3
77;5553;4096;418;31317;173228;1521510;138023;276046;1832761;0;5343;3664013;1.6322764327356493e8;6.749489e-3;1.141918127e0;6.693456e-3
78;5343;4096;243;31559;179592;1576255;144037;288074;1899884;0;5200;3798559;1.665420134484947e8;6.934072e-3;1.183401763e0;6.9853e-3
79;5200;4096;405;31682;174596;1537298;139702;279404;1851596;0;5679;3702877;1.609955101071192e8;7.196751e-3;1.175448911e0;6.688897e-3
80;5679;4096;272;31166;177894;1563003;142630;285260;1883527;0;5405;3766294;1.6710991446414986e8;6.57031e-3;1.17636921e0;6.66934e-3
