cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
70;5492;4096;229;31387;176909;1555844;141487;282974;1874240;0;5324;3749960;1.6119460847168115e8;5.132238e-3;2.976613515e0;4.370269e-3
71;5324;4096;361;31512;176146;1550275;141199;282398;1867620;0;5624;3737529;1.6459262437808663e8;5.056516e-3;2.954179849e0;4.389851e-3
72;5624;4096;443;31266;177545;1563962;142142;284284;1883649;0;5140;3762487;1.6443014099744138e8;5.088735e-3;3.006935964e0;4.313695e-3
73;5140;4096;245;31766;178191;1569969;142972;285944;1891132;0;5538;3782784;1.6475743456636617e8;5.198467e-3;3.021761452e0;4.336788e-3
74;5538;4096;147;31333;178991;1577581;143574;287148;1900146;0;5403;3797521;1.6338961397027928e8;5.243203e-3;3.054978942e0;4.363279e-3
75;5403;4096;214;31370;179507;1586592;144469;288938;1910568;0;5617;3822469;1.6418030312036937e8;5.235817e-3;3.067810022e0;4.431009e-3
76;5617;4096;475;31221;179012;1581063;144106;288212;1904181;0;5553;3808055;1.6576934512654442e8;5.206336e-3;3.052559684e0;4.353215e-3
77;5553;4096;418;31317;173228;1521510;138023;276046;1832761;0;5343;3664013;1.632276432735648e8;5.128977e-3;2.94719304e0;4.368382e-3
78;5343;4096;243;31559;179592;1576255;144037;288074;1899884;0;5200;3798559;1.6654201344849485e8;5.098785e-3;3.045366733e0;4.338668e-3
79;5200;4096;405;31682;174596;1537298;139702;279404;1851596;0;5679;3702877;1.6099551010711923e8;5.196323e-3;2.964915746e0;4.311015e-3
80;5679;4096;272;31166;177894;1563003;142630;285260;1883527;0;5405;3766294;1.6710991446414998e8;5.100927e-3;3.001677603e0;4.379119e-3
81;5405;4096;243;31386;173983;1523716;138605;277210;1836304;0;5266;3671689;1.6210370588533187e8;5.322361e-3;2.957483296e0;4.65234e-3
82;5266;4096;280;31573;179327;1584281;144188;288376;1907796;0;5516;3813866;1.646671115220553e8;5.213575e-3;3.056023572e0;4.379492e-3
83;5516;4096;270;31411;177597;1563232;142405;284810;1883234;0;5561;3766988;1.61672419830149e8;5.208123e-3;3.017646506e0;4.428985e-3
84;5561;4096;215;31336;176872;1551287;141396;282792;1869555;0;5302;3740183;1.633738098003543e8;5.183977e-3;3.00036264e0;4.371804e-3
85;5302;4096;233;31519;175291;1535023;139712;279424;1850026;0;5105;3699329;1.601328756249961e8;5.131651e-3;2.964103148e0;4.344796e-3
86;5105;4096;344;31753;174031;1534206;138832;277664;1847069;0;5411;3692206;1.5497082509801403e8;5.158324e-3;2.955900992e0;4.310145e-3
87;5411;4096;298;31488;178191;1572788;143013;286026;1893992;0;5519;3789538;1.6203023835409704e8;5.243014e-3;3.046093183e0;4.493693e-3
88;5519;4096;288;31266;174629;1532278;139028;278056;1845935;0;4992;3694083;1.6244785899670312e8;5.233163e-3;2.957385292e0;4.344022e-3
89;4992;4096;241;31885;174100;1528349;138819;277638;1841268;0;5451;3684109;1.5730045338585258e8;5.09455e-3;2.9786081810000002e0;4.420065e-3
90;5451;4096;376;31405;180275;1586403;144911;289822;1911589;0;5212;3823452;1.6093909844736692e8;5.125246e-3;3.068922714e0;4.401788e-3
91;5212;4096;257;31631;179444;1585265;144154;288308;1908863;0;5392;3814182;1.6456087168194187e8;5.258319e-3;3.052436851e0;4.864978e-3
92;5392;4096;278;31492;174793;1533989;139406;278812;1848188;0;5315;3698844;1.5899384226414576e8;5.222628e-3;2.977022119e0;4.465428e-3
93;5315;4096;327;31540;177598;1564900;142457;284914;1884955;0;5483;3770251;1.6240871107972667e8;5.4157e-3;3.01251833e0;4.504465e-3
94;5483;4096;220;31366;175701;1541981;140135;280270;1857817;0;5159;3715421;1.5987577008539352e8;5.590066e-3;2.978962406e0;4.438546e-3
95;5159;4096;193;31632;173821;1523749;138276;276552;1835846;0;5149;3673104;1.5945413045232347e8;5.285496e-3;2.937310446e0;4.482291e-3
96;5149;4096;133;31724;180217;1587710;144912;289824;1912839;0;5531;3825615;1.6307957507862118e8;5.152765e-3;3.056704616e0;4.320007e-3
97;5531;4096;276;31289;175790;1544371;140478;280956;1860639;0;5328;3720633;1.5937811397399458e8;5.244327e-3;2.9912046610000003e0;6.037708e-3
98;5328;4096;201;31578;172182;1507971;136628;273256;1816781;0;5247;3631450;1.5525186919883823e8;5.316224e-3;2.905380187e0;4.522885e-3
99;5247;4096;146;31586;173576;1523120;138109;276218;1834805;0;5316;3669836;1.6091610767837882e8;5.690512e-3;2.943277792e0;4.308577e-3
